,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
179,102年 10月,南投縣, 81 , 13 ,0,2,0,32,21,9,2,0,15,1,0,5,0,1,4,0,0,0,7,4, 41 , 50 ,1,0,7,3,0,0,1,0,2,3,0,0,2,0,8,1,0,0, 117 ,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,9
180,102年 11月,南投縣, 67 , 9 ,2,5,0,18,24,10,0,1,23,1,0,5,0,1,7,0,0,0,9,1, 55 , 62 ,0,0,6,4,1,1,0,0,2,1,0,0,0,0,3,0,0,1, 119 ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
181,102年 12月,南投縣, 18 , 6 ,0,0,0,26,16,8,2,0,18,4,1,4,0,2,7,0,0,0,10,4, 22 , 34 ,1,0,14,1,0,1,0,0,0,1,0,0,0,0,4,2,0,3, 108 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12
182,103年,南投縣, 924 , 122 ,27,109,1,290,240,112,11,2,231,13,13,29,0,16,58,0,11,0,64,33, 371 , 422 ,14,0,94,28,10,13,9,0,17,64,1,0,4,0,23,2,0,2," 1,391 ",0,38,0,43,3,1,0,0,0,0,1,0,0,7,0,0,0,27,0,116
183,103年 1月,南投縣, 169 , 20 ,11,40,0,15,26,8,1,0,19,0,2,0,0,0,1,0,0,0,3,0, 48 , 45 ,1,0,10,3,1,0,1,0,1,1,0,0,0,0,3,0,0,0, 145 ,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
184,103年 2月,南投縣, 99 , 16 ,4,13,0,29,14,6,1,0,12,1,0,1,0,1,3,0,1,0,5,6, 31 , 22 ,1,0,8,3,1,1,0,0,1,13,0,0,0,0,0,1,0,1, 95 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
185,103年 3月,南投縣, 56 , 6 ,0,4,0,27,20,11,2,0,18,3,3,3,0,1,4,0,3,0,5,1, 24 , 34 ,3,0,6,3,0,0,0,0,1,4,0,0,0,0,3,0,0,0, 90 ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
186,103年 4月,南投縣, 64 , 8 ,1,6,0,27,23,5,1,0,23,1,0,5,0,2,2,0,0,0,7,3, 35 , 42 ,0,0,8,1,0,0,1,0,0,3,0,0,1,0,6,0,0,1, 97 ,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,8
187,103年 5月,南投縣, 75 , 17 ,1,8,0,25,16,13,0,0,32,1,0,6,0,0,4,0,0,0,7,4, 21 , 32 ,0,0,5,2,2,1,1,0,2,4,0,0,0,0,2,0,0,0, 121 ,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6
188,103年 6月,南投縣, 69 , 10 ,2,6,1,27,9,6,1,0,22,2,1,0,0,2,1,0,1,0,4,3, 33 , 30 ,0,0,8,2,0,2,0,0,2,5,0,0,0,0,1,1,0,0, 98 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,6
189,103年 7月,南投縣, 63 , 11 ,1,7,0,28,20,11,1,0,21,0,0,7,0,7,6,0,1,0,11,2, 41 , 54 ,1,0,4,4,1,1,1,0,0,8,0,0,1,0,0,0,0,0, 110 ,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,8
190,103年 8月,南投縣, 64 , 8 ,0,0,0,31,16,12,0,1,18,2,0,1,0,1,7,0,0,0,10,3, 37 , 36 ,3,0,3,2,0,0,1,0,1,4,0,0,0,0,4,0,0,0, 113 ,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,16
191,103年 9月,南投縣, 74 , 14 ,4,8,0,22,28,11,1,0,21,0,2,2,0,0,6,0,2,0,2,4, 29 , 37 ,2,0,6,1,1,2,2,0,3,2,1,0,1,0,3,0,0,0, 128 ,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
192,103年 10月,南投縣, 82 , 5 ,1,5,0,27,38,8,2,0,18,3,2,2,0,1,5,0,1,0,3,2, 15 , 19 ,2,0,15,2,4,2,1,0,2,2,0,0,0,0,0,0,0,0, 132 ,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
193,103年 11月,南投縣, 53 , 2 ,2,8,0,12,18,9,1,0,14,0,2,0,0,0,7,0,2,0,3,3, 31 , 39 ,1,0,12,2,0,4,1,0,3,6,0,0,1,0,0,0,0,0, 121 ,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
194,103年 12月,南投縣, 56 , 5 ,0,4,0,20,12,12,0,1,13,0,1,2,0,1,12,0,0,0,4,2, 26 , 32 ,0,0,9,3,0,0,0,0,1,12,0,0,0,0,1,0,0,0, 141 ,0,5,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18
195,104年,南投縣, 998 , 107 ,17,215,0,268,290,107,14,1,221,13,14,26,0,6,69,0,24,0,53,40, 488 , 626 ,15,0,80,22,5,15,4,0,18,32,0,0,0,0,19,9,0,1," 1,730 ",1,46,1,4,5,0,0,0,0,0,0,0,1,3,2,0,0,42,0,147
196,104年 1月,南投縣, 23 , 2 ,1,3,0,23,23,5,1,0,16,1,4,1,0,1,5,0,3,0,4,1, 30 , 33 ,1,0,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0, 177 ,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6
197,104年 2月,南投縣, 214 , 18 ,10,62,0,21,12,7,1,0,11,0,3,3,0,0,8,0,2,0,2,3, 42 , 58 ,2,0,9,2,1,0,0,0,3,8,0,0,0,0,0,0,0,0, 192 ,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11
198,104年 3月,南投縣, 81 , 9 ,0,5,0,26,24,12,2,0,26,4,1,0,0,0,5,0,2,0,4,2, 36 , 39 ,0,0,12,5,1,0,0,0,1,1,0,0,0,0,10,4,0,0, 156 ,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
199,104年 4月,南投縣, 59 , 7 ,0,9,0,20,15,8,2,0,19,2,0,0,0,0,5,0,0,0,2,6, 25 , 48 ,0,0,4,2,1,2,0,0,1,2,0,0,0,0,2,0,0,0, 113 ,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,24
200,104年 5月,南投縣, 74 , 13 ,1,13,0,28,24,12,0,0,18,0,2,2,0,0,7,0,1,0,9,6, 48 , 55 ,2,0,5,2,1,0,0,0,1,3,0,0,0,0,2,1,0,0, 133 ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,23
201,104年 6月,南投縣, 61 , 6 ,0,16,0,16,21,8,1,0,24,1,1,1,0,1,3,0,0,0,3,1, 41 , 42 ,0,0,5,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0, 122 ,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,9
202,104年 7月,南投縣, 107 , 12 ,0,14,0,31,22,3,1,0,24,3,0,3,0,2,6,0,7,0,5,9, 46 , 72 ,2,0,5,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0, 145 ,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12
203,104年 8月,南投縣, 82 , 8 ,0,11,0,18,35,10,2,0,17,0,1,5,0,0,8,0,1,0,1,0, 49 , 63 ,1,0,6,2,0,2,0,0,2,5,0,0,0,0,0,2,0,0, 139 ,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
204,104年 9月,南投縣, 87 , 12 ,3,16,0,29,26,11,2,0,16,0,0,1,0,0,7,0,3,0,4,5, 44 , 48 ,1,0,10,2,0,5,0,0,0,1,0,0,0,0,0,2,0,0, 133 ,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,12
205,104年 10月,南投縣, 86 , 4 ,0,27,0,22,36,9,1,0,15,1,1,5,0,0,4,0,2,0,4,3, 53 , 86 ,2,0,7,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0, 131 ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
206,104年 11月,南投縣, 61 , 6 ,1,22,0,19,33,9,1,0,15,0,0,3,0,1,6,0,2,0,4,0, 48 , 47 ,1,0,8,3,0,0,1,0,10,2,0,0,0,0,4,0,0,1, 158 ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12
207,104年 12月,南投縣, 63 , 10 ,1,17,0,15,19,13,0,1,20,1,1,2,0,1,5,0,1,0,11,4, 26 , 35 ,3,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0, 131 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16
208,105年,南投縣, 923 , 119 ,5,227,1,262,402,133,10,2,172,13,10,21,2,1,52,0,30,0,74,44, 593 , 711 ,19,0,110,23,4,6,7,0,9,23,0,1,3,0,20,1,0,2," 1,737 ",1,58,0,7,5,1,0,0,0,0,0,0,0,6,0,0,0,27,1,154
209,105年 1月,南投縣, 66 , 7 ,0,18,0,19,32,15,1,0,19,1,1,1,0,0,8,0,1,0,2,3, 70 , 49 ,3,0,17,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0, 135 ,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15
210,105年 2月,南投縣, 49 , 12 ,0,90,0,16,18,9,0,1,6,0,0,2,0,0,2,0,1,0,8,6, 38 , 36 ,2,0,6,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0, 165 ,0,7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7
211,105年 3月,南投縣, 82 , 10 ,1,28,0,26,37,16,0,0,26,1,0,2,0,0,4,0,0,0,8,1, 59 , 73 ,0,0,10,4,2,0,0,0,2,2,0,0,0,0,0,0,0,1, 163 ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
212,105年 4月,南投縣, 87 , 7 ,1,28,0,23,28,10,0,0,11,2,2,3,0,0,7,0,1,0,7,5, 38 , 49 ,4,0,10,2,1,0,1,0,1,1,0,1,0,0,1,0,0,1, 167 ,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
213,105年 5月,南投縣, 89 , 6 ,0,14,0,22,25,8,1,0,15,0,2,0,0,0,4,0,1,0,8,5, 64 , 70 ,2,0,7,1,1,1,0,0,2,3,0,0,0,0,2,0,0,0, 138 ,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
214,105年 6月,南投縣, 70 , 4 ,0,1,1,25,22,12,3,1,9,1,1,2,0,1,2,0,2,0,7,3, 20 , 22 ,0,0,6,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0, 134 ,1,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,17
215,105年 7月,南投縣, 99 , 10 ,1,6,0,20,21,8,0,0,16,1,1,1,0,0,4,0,5,0,4,4, 72 , 113 ,4,0,8,0,0,0,1,0,0,4,0,0,1,0,5,0,0,0, 146 ,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18
216,105年 8月,南投縣, 99 , 21 ,1,7,0,23,50,13,2,0,19,1,0,1,0,0,4,0,3,0,4,5, 53 , 67 ,1,0,8,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0, 131 ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18
217,105年 9月,南投縣, 78 , 10 ,0,8,0,23,38,10,0,0,8,0,0,2,0,0,6,0,0,0,9,1, 48 , 29 ,0,0,11,4,0,1,0,0,0,2,0,0,1,0,3,0,0,0, 104 ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
218,105年 10月,南投縣, 55 , 11 ,0,12,0,24,57,13,2,0,14,0,2,2,1,0,4,0,3,0,4,5, 58 , 91 ,2,0,7,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0, 139 ,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10
219,105年 11月,南投縣, 93 , 10 ,1,6,0,23,45,11,1,0,14,5,1,4,0,0,3,0,13,0,5,3, 58 , 88 ,0,0,11,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0, 175 ,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,13
220,105年 12月,南投縣, 56 , 11 ,0,9,0,18,29,8,0,0,15,1,0,1,1,0,4,0,0,0,8,3, 15 , 24 ,1,0,9,2,0,1,0,0,1,1,0,0,0,0,2,0,0,0, 140 ,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11
0,89年,桃園縣(103年改制前)," 9,512 "," 3,317 ",38,264,5,175, 191 ,74,86,1,33,50,183,71,2,26,31,3,119,8,73,163, 699 ," 2,071 ",1,0,38,18,0,154,99,0,22,11,3,4,0,0,2,111,5,6," 1,115 ",0,5,143,0,0,0,1,0,2,0,24,0,1,27,0,3,1,136,22,365
1,89年 1月,桃園縣(103年改制前), 706 , 289 ,1,26,0,14, 21 ,6,12,0,2,5,3,2,0,1,4,0,5,2,6,11, 65 , 338 ,0,0,2,2,0,24,5,0,4,1,0,1,0,0,0,6,0,0, 78 ,0,0,50,0,0,0,0,0,1,0,7,0,0,0,0,0,0,19,7,63
2,89年 2月,桃園縣(103年改制前), 507 , 196 ,5,24,0,6, 8 ,6,5,0,0,1,7,3,0,6,4,0,2,1,4,9, 49 , 238 ,0,0,2,1,0,14,6,0,2,1,1,0,0,0,0,1,1,1, 32 ,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,39
3,89年 3月,桃園縣(103年改制前), 572 , 288 ,5,33,0,6, 13 ,4,4,0,0,6,8,2,0,3,2,0,3,0,4,10, 44 , 139 ,0,0,3,2,0,11,8,0,4,0,0,2,0,0,0,2,0,1, 51 ,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,18,2,8
4,89年 4月,桃園縣(103年改制前), 697 , 265 ,3,20,0,10, 11 ,3,2,0,0,4,11,4,0,2,4,0,1,0,11,20, 50 , 178 ,0,0,0,0,0,11,11,0,0,0,0,0,0,0,2,3,0,0, 72 ,0,0,8,0,0,0,0,0,0,0,2,0,0,4,0,0,0,4,3,32
5,89年 5月,桃園縣(103年改制前), 832 , 298 ,2,24,0,22, 22 ,1,5,0,3,4,10,6,0,1,1,0,10,0,7,9, 58 , 169 ,0,0,3,2,0,10,8,0,0,2,0,0,0,0,0,6,0,0, 96 ,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,8,3,28
6,89年 6月,桃園縣(103年改制前), 729 , 240 ,6,27,0,14, 4 ,4,5,0,1,3,26,4,0,2,3,0,14,1,11,14, 51 , 158 ,0,0,1,3,0,12,6,0,2,0,1,0,0,0,0,2,0,0, 86 ,0,1,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,2,39
7,89年 7月,桃園縣(103年改制前), 899 , 293 ,5,34,2,12, 6 ,7,8,0,5,7,34,7,0,0,1,0,0,0,3,24, 79 , 157 ,0,0,5,3,0,8,8,0,3,1,0,0,0,0,0,11,1,0, 97 ,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,9,2,27
8,89年 8月,桃園縣(103年改制前), 925 , 278 ,1,18,0,17, 5 ,7,7,0,3,4,28,8,0,1,2,2,14,0,3,15, 66 , 166 ,0,0,5,1,0,9,5,0,0,0,0,1,0,0,0,15,0,0, 100 ,0,1,6,0,0,0,0,0,0,0,2,0,0,5,0,0,0,13,1,28
9,89年 9月,桃園縣(103年改制前), 880 , 201 ,2,20,0,16, 52 ,5,15,0,3,3,15,7,0,4,2,0,18,0,7,9, 49 , 119 ,0,0,4,2,0,19,22,0,1,3,0,0,0,0,0,22,2,1, 103 ,0,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0,0,10,1,15
10,89年 10月,桃園縣(103年改制前), 951 , 334 ,5,24,0,21, 31 ,9,9,0,4,5,18,8,1,4,3,0,41,1,7,16, 58 , 141 ,0,0,8,1,0,14,7,0,5,2,1,0,0,0,0,9,0,1, 105 ,0,0,13,0,0,0,0,0,0,0,3,0,0,2,0,1,0,9,0,25
11,89年 11月,桃園縣(103年改制前), 964 , 320 ,0,6,1,16, 9 ,12,7,0,3,3,11,9,1,1,3,1,4,2,5,11, 81 , 146 ,1,0,0,1,0,12,12,0,1,0,0,0,0,0,0,11,1,0, 141 ,0,1,9,0,0,0,0,0,0,0,1,0,0,4,0,0,0,12,0,29
12,89年 12月,桃園縣(103年改制前), 850 , 315 ,3,8,2,21, 9 ,10,7,1,9,5,12,11,0,1,2,0,7,1,5,15, 49 , 122 ,0,0,5,0,0,10,1,0,0,1,0,0,0,0,0,23,0,2, 154 ,0,2,2,0,0,0,0,0,0,0,1,0,0,6,0,0,1,9,0,32
13,90年,桃園縣(103年改制前)," 10,875 "," 3,753 ",54,130,1,321, 111 ,85,88,2,61,54,303,109,4,21,61,3,156,8,80,155, 786 , 962 ,3,0,58,56,0,323,214,0,33,12,3,7,0,0,0,252,5,10," 2,381 ",0,7,101,17,0,2,1,0,4,0,64,0,0,30,1,0,1,127,168,356
14,90年 1月,桃園縣(103年改制前)," 1,175 ", 419 ,6,10,0,19, 17 ,12,7,0,6,3,10,12,1,3,4,0,31,0,5,21, 55 , 124 ,0,0,8,6,0,32,23,0,2,1,1,0,0,0,0,11,1,0, 199 ,0,0,17,0,0,0,0,0,0,0,3,0,0,6,0,0,0,8,0,45
15,90年 2月,桃園縣(103年改制前), 749 , 239 ,5,16,0,18, 5 ,5,6,0,5,8,9,7,0,0,2,0,11,0,9,28, 29 , 59 ,0,0,3,3,0,23,9,0,2,0,1,0,0,0,0,17,0,2, 137 ,0,0,10,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,27
16,90年 3月,桃園縣(103年改制前), 741 , 240 ,5,16,0,31, 5 ,7,8,0,5,6,10,11,0,2,4,0,8,0,5,16, 53 , 71 ,0,0,2,1,0,29,7,0,11,3,0,0,0,0,0,23,0,0, 132 ,0,1,9,0,0,0,0,0,0,0,7,0,0,2,0,0,0,10,0,29
17,90年 4月,桃園縣(103年改制前), 733 , 327 ,2,11,0,33, 12 ,5,8,0,9,5,7,16,1,3,7,1,2,0,14,13, 46 , 90 ,0,0,7,10,0,17,17,0,2,0,0,1,0,0,0,22,0,0, 144 ,0,1,8,0,0,0,0,0,0,0,4,0,0,3,0,0,1,11,3,16
18,90年 5月,桃園縣(103年改制前), 943 , 365 ,4,6,0,37, 4 ,4,11,0,9,4,32,13,0,2,5,0,25,2,9,20, 65 , 94 ,0,0,8,1,0,15,12,0,4,0,0,0,0,0,0,19,1,3, 201 ,0,1,6,0,0,0,0,0,1,0,7,0,0,2,0,0,0,9,1,29
19,90年 6月,桃園縣(103年改制前), 819 , 200 ,6,5,1,34, 4 ,9,6,0,9,3,34,7,0,1,5,0,35,0,8,11, 64 , 68 ,0,0,4,5,0,26,11,0,3,1,0,1,0,0,0,24,0,1, 191 ,0,1,3,0,0,1,0,0,0,0,3,0,0,4,0,0,0,9,4,16
20,90年 7月,桃園縣(103年改制前)," 1,005 ", 300 ,6,7,0,17, 10 ,5,7,0,1,4,34,6,1,1,5,0,7,1,6,10, 65 , 77 ,0,0,4,6,0,30,34,0,0,1,0,1,0,0,0,27,1,0, 147 ,0,0,2,0,0,0,0,0,2,0,8,0,0,2,0,0,0,11,25,17
21,90年 8月,桃園縣(103年改制前)," 1,012 ", 303 ,3,7,0,24, 11 ,5,6,0,5,6,41,7,0,2,8,0,7,1,6,9, 100 , 105 ,0,0,4,5,0,41,16,0,6,2,0,0,0,0,0,34,0,0, 220 ,0,1,1,0,0,0,0,0,0,0,8,0,0,4,0,0,0,9,37,20
22,90年 9月,桃園縣(103年改制前), 720 , 225 ,3,14,0,14, 8 ,7,4,1,4,6,19,5,0,1,7,1,5,2,1,4, 83 , 66 ,1,0,5,6,0,30,11,0,1,2,0,0,0,0,0,16,1,0, 244 ,0,1,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,8,27,16
23,90年 10月,桃園縣(103年改制前)," 1,085 ", 283 ,4,15,0,29, 11 ,10,11,0,0,0,37,7,1,2,4,0,11,1,4,5, 92 , 73 ,1,0,4,4,0,30,17,0,1,0,0,1,0,0,0,27,0,1, 203 ,0,1,11,0,0,0,0,0,1,0,7,0,0,0,1,0,0,6,17,46
24,90年 11月,桃園縣(103年改制前)," 1,130 ", 488 ,6,17,0,42, 12 ,7,8,1,3,7,57,13,0,2,7,1,9,1,9,12, 71 , 78 ,0,0,4,3,0,24,44,0,1,1,1,1,0,0,0,21,0,2, 353 ,0,0,20,5,0,0,1,0,0,0,6,0,0,3,0,0,0,18,29,65
25,90年 12月,桃園縣(103年改制前), 763 , 364 ,4,6,0,23, 12 ,9,6,0,5,2,13,5,0,2,3,0,5,0,4,6, 63 , 57 ,1,0,5,6,0,26,13,0,0,1,0,2,0,0,0,11,1,1, 210 ,0,0,12,12,0,1,0,0,0,0,2,0,0,1,0,0,0,22,25,30
26,91年,桃園縣(103年改制前)," 13,439 "," 4,737 ",48,177,5,233, 124 ,66,122,3,9,33,263,104,6,22,36,2,90,6,48,104, 829 , 541 ,3,0,29,49,0,340,355,0,32,5,1,0,0,0,0,146,7,13," 1,846 ",0,2,25,78,0,4,1,1,4,0,36,0,0,20,0,5,0,117,235,262
27,91年 1月,桃園縣(103年改制前)," 1,003 ", 406 ,3,7,0,27, 10 ,2,6,0,0,1,16,9,0,2,1,0,12,0,4,11, 39 , 38 ,0,0,1,3,0,17,4,0,1,0,0,0,0,0,0,19,0,2, 213 ,0,1,9,28,0,2,0,0,0,0,2,0,0,6,0,0,0,8,14,15
28,91年 2月,桃園縣(103年改制前)," 1,804 ", 396 ,8,5,0,20, 4 ,2,8,1,2,3,5,3,0,0,1,0,7,1,6,9, 46 , 37 ,0,0,3,2,0,84,55,0,0,1,0,0,0,0,0,16,0,3, 171 ,0,0,5,9,0,0,0,0,0,0,3,0,0,1,0,2,0,19,18,11
29,91年 3月,桃園縣(103年改制前), 947 , 355 ,6,8,1,21, 15 ,5,12,0,2,3,16,9,1,3,2,0,3,0,8,7, 51 , 38 ,0,0,5,3,0,17,17,0,0,0,0,0,0,0,0,6,0,0, 196 ,0,0,5,1,0,0,0,0,0,0,1,0,0,3,0,1,0,7,29,17
30,91年 4月,桃園縣(103年改制前)," 1,056 ", 312 ,3,11,0,17, 10 ,3,6,0,0,5,17,7,0,3,2,0,10,0,4,7, 64 , 36 ,0,0,3,5,0,22,30,0,1,0,1,0,0,0,0,9,0,1, 117 ,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,27,26
31,91年 5月,桃園縣(103年改制前)," 1,060 ", 439 ,1,19,0,20, 8 ,8,10,0,2,5,21,1,0,2,1,0,3,0,4,7, 54 , 36 ,0,0,3,4,0,13,22,0,7,0,0,0,0,0,0,14,2,0, 128 ,0,1,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,3,18,22
32,91年 6月,桃園縣(103年改制前), 859 , 304 ,5,9,0,23, 5 ,4,11,1,2,4,17,5,1,2,2,0,4,1,4,6, 54 , 23 ,0,0,0,5,0,14,11,0,1,0,0,0,0,0,0,21,0,1, 145 ,0,0,1,28,0,0,0,0,0,0,3,0,0,0,0,1,0,3,22,16
33,91年 7月,桃園縣(103年改制前)," 1,217 ", 367 ,5,10,1,25, 10 ,7,12,0,0,3,41,14,2,3,4,0,5,1,5,12, 101 , 55 ,0,0,1,1,0,41,65,0,0,1,0,0,0,0,0,13,3,2, 162 ,0,0,1,5,0,1,0,0,0,0,1,0,0,0,0,1,0,2,25,33
34,91年 8月,桃園縣(103年改制前)," 1,140 ", 409 ,4,19,0,19, 11 ,4,6,0,0,2,24,8,1,0,5,2,8,2,3,12, 85 , 55 ,1,0,2,4,0,42,41,0,0,0,0,0,0,0,0,10,0,3, 180 ,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,9,32,21
35,91年 9月,桃園縣(103年改制前)," 1,096 ", 366 ,1,18,0,18, 10 ,9,11,0,0,0,23,1,1,1,2,0,13,0,2,10, 75 , 44 ,0,0,2,6,0,12,16,0,7,0,0,0,0,0,0,8,2,0, 139 ,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,13,17,18
36,91年 10月,桃園縣(103年改制前)," 1,306 ", 418 ,5,5,1,14, 10 ,9,22,0,1,1,21,15,0,3,9,0,6,0,4,4, 89 , 44 ,1,0,2,11,0,33,45,0,6,1,0,0,0,0,0,9,0,0, 137 ,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,15,12,26
37,91年 11月,桃園縣(103年改制前)," 1,149 ", 501 ,4,26,1,15, 13 ,9,8,0,0,5,41,15,0,2,6,0,6,0,2,11, 84 , 53 ,0,0,4,2,0,20,18,0,0,2,0,0,0,0,0,7,0,0, 138 ,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,14,5,27
38,91年 12月,桃園縣(103年改制前), 802 , 464 ,3,40,1,14, 18 ,4,10,1,0,1,21,17,0,1,1,0,13,1,2,8, 87 , 82 ,1,0,3,3,0,25,31,0,9,0,0,0,0,0,0,14,0,1, 120 ,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,18,16,30
39,92年,桃園縣(103年改制前)," 12,544 "," 6,302 ",26,167,4,139, 168 ,48,98,1,26,24,232,138,5,50,41,5,126,8,51,103," 1,133 ", 619 ,4,0,28,25,0,281,316,0,28,6,1,1,0,0,0,144,1,16," 1,619 ",1,2,0,0,1,3,0,0,2,0,35,0,0,20,0,3,0,160,223,208
40,92年 1月,桃園縣(103年改制前)," 1,233 ", 582 ,2,18,0,22, 24 ,9,15,0,0,4,13,19,0,2,1,0,29,0,12,6, 108 , 75 ,0,0,4,2,0,27,40,0,3,0,0,0,0,0,0,38,0,2, 178 ,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,12,26,22
41,92年 2月,桃園縣(103年改制前), 892 , 395 ,0,13,0,11, 9 ,6,12,0,1,1,14,15,0,1,3,0,2,1,2,6, 67 , 38 ,0,0,0,4,0,16,18,0,9,3,0,0,0,0,0,21,0,3, 155 ,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,19,18
42,92年 3月,桃園縣(103年改制前)," 1,014 ", 575 ,0,22,1,10, 14 ,2,5,0,1,3,19,12,0,9,3,3,4,0,0,10, 74 , 42 ,1,0,3,1,0,18,17,0,2,1,0,0,0,0,0,27,0,3, 143 ,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,18,16
